num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
10 : 0.75 : 34 | 5, 9, 10 | 0 ms
10 : 0.75 : 32 | 4, 9, 10 | 0 ms
10 : 0.75 : 35 | 4, 6, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.7 : 28 | 4, 9, 10 | 0 ms
10 : 0.7 : 28 | 5, 7, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.7 : 32 | 4, 9, 10 | 0 ms
10 : 0.7 : 33 | 4, 8, 10 | 0 ms
10 : 0.7 : 26 | 6, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.7 : 30 | 5, 9, 10 | 0 ms
10 : 0.7 : 28 | 4, 10 | 0 ms
10 : 0.7 : 34 | 5, 8, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.6 : 31 | 3, 6, 8, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.6 : 27 | 5, 10 | 0 ms
10 : 0.6 : 24 | 6, 10 | 0 ms
10 : 0.6 : 28 | 5, 10 | 0 ms
10 : 0.6 : 32 | 3, 7, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.6 : 23 | 4, 10 | 0 ms
10 : 0.6 : 29 | 4, 8, 10 | 0 ms
10 : 0.6 : 27 | 5, 10 | 0 ms

15 : 0.98 : 102 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.98 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.98 : 102 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.98 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.98 : 103 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 1 ms
15 : 0.98 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.98 : 104 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.97 : 102 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
